id,text
Vessel,"The system did not properly adjust for weather-related delays, causing the vessel’s ETA to be outdated and leading to missed berth slots. | A manual update was made to the vessel’s ETA in the scheduling system. Future weather-related delays were integrated into the system for automatic adjustments to ETAs and berth scheduling. | A manual update was made to the vessel’s ETA in the scheduling system. Future weather-related delays were integrated into the system for automatic adjustments to ETAs and berth scheduling."
EDI/API,"Rate limiter throttled legitimate traffic after load surge. Hot keys on '/edi/status' created cache stampede; error budget burned for the window. All numeric identifiers are randomized placeholders; no credentials stored. | Rate limiter throttled legitimate traffic after load surge. Hot keys on '/containers/search' created cache stampede; error budget burned for the window. Context tokens: EDIFACT. All numeric identifiers are randomized placeholders; no credentials stored.', the resolution involves optimizing the system parameters and adjusting configurations to resolve the conflict. | Rate limiter throttled legitimate traffic after load surge. Hot keys on '/containers/search' created cache stampede; error budget burned for the window. Context tokens: EDIFACT. All numeric identifiers are randomized placeholders; no credentials stored.', the resolution involves optimizing the system parameters and adjusting configurations to resolve the conflict."
Container Booking,"Discrepancy between customer portal and TOS for container CMAU2070304 on voyage V001. Portal shows 'Loaded @ BP02' while TOS indicates 'In Yard - Block J4'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-CC5O7UUB and seal S2343-PVS included (randomized placeholders). Yard crane QC13 handled the last move at PSA Tanjong Pagar. | Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage V001); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders. | Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage V001); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders."
EDI/API,"Field mapping mismatch across systems for container ONEU0541993. Partner Partner-A posted ANSI X12 214 with size/type as 22G1, but our master lists 45R1. Public API reflected partner payload, breaking yard slotting at PSA Pasir Panjang. Booking BK-8ARXA6YI shows reefer flag OFF while TOS maintains ON. Audit indicates stale backfill job re-applied older attributes. All numeric identifiers are randomized placeholders; no credentials stored. | Escalate to EDIAPI Product Team | Escalate to EDIAPI Product Team"
Container Report,The user is unable to find the EBP (Electronic Booking Process) status in the container report for TLI Status CS0050188. The user is requesting assistance to locate this status. | 1.There is no EBP status in Container Report. 2.Ask customer what is their purpose? They can check VEM if they want to check TLI vs ABP discrepancy. | 1.There is no EBP status in Container Report. 2.Ask customer what is their purpose? They can check VEM if they want to check TLI vs ABP discrepancy.
EDI/API,Unexpected qualifier 'DL' in EQD segment from Partner-C; schema validation failed; containers in the message not reflected on the portal timeline. All numeric identifiers are randomized placeholders; no credentials stored. | Enabled conflict resolution preferring max(eventTime); patched translator for partner-specific tolerance; reprocessed from quarantine; verified pipeline end-to-end. Communications used masked ticket references where applicable. | Enabled conflict resolution preferring max(eventTime); patched translator for partner-specific tolerance; reprocessed from quarantine; verified pipeline end-to-end. Communications used masked ticket references where applicable.
EDI/API,Intermittent 504 on '/edi/status' during webhook deliveries to Partner-A. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Tuas Port ops unaffected but visibility degraded. All numeric identifiers are randomized placeholders; no credentials stored. | Introduced per-partner rate shaping; added idempotency keys for webhook retries; validated TLS and cipher compatibility; published sanitized RCA. Communications used masked ticket references where applicable. | Introduced per-partner rate shaping; added idempotency keys for webhook retries; validated TLS and cipher compatibility; published sanitized RCA. Communications used masked ticket references where applicable.
Vessel,"Schedule API intermittently returns 429 for MV PACIFIC GLORY/105N; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Pasir Panjang Terminal 2. All numeric identifiers are randomized placeholders; no credentials stored. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable."
Container Report,502 responses and timeouts on '/events/subscribe' when querying ONEU8986609. slowest 5% of requests latency > 10s; retries exhausted—gaps visible in customer timeline. Coincides with partner load test near Tuas Port. | Escalate to Container Product Team | Escalate to Container Product Team
EDI/API,"BAPLIE duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: CMA. All numeric identifiers are randomized placeholders; no credentials stored. | Added de-duplication keyed by (controlNumber, docType, equipmentId, eventType); instated rule to discard stale duplicates; replayed healthy messages. Communications used masked ticket references where applicable. | Added de-duplication keyed by (controlNumber, docType, equipmentId, eventType); instated rule to discard stale duplicates; replayed healthy messages. Communications used masked ticket references where applicable."
Container Booking,"Discrepancy between customer portal and TOS for container CMAU9096728 on voyage BT21. Portal shows 'Loaded @ BP03' while TOS indicates 'In Yard - Block E5'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-WVIYTWBO and seal S8739-D1A included (randomized placeholders). Yard crane QC11 handled the last move at Tuas Port. | Discrepancy between customer portal and TOS for container CMAU9096728 on voyage BT21. Portal shows 'Loaded @ BP03' while TOS indicates 'In Yard - Block E5'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-WVIYTWBO and seal S8739-D1A included (randomized placeholders). Yard crane QC11 handled the last move at Tuas Port.': Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference. | Discrepancy between customer portal and TOS for container CMAU9096728 on voyage BT21. Portal shows 'Loaded @ BP03' while TOS indicates 'In Yard - Block E5'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-WVIYTWBO and seal S8739-D1A included (randomized placeholders). Yard crane QC11 handled the last move at Tuas Port.': Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference."
Container Report,Inbound EDIFACT IFTSTA failed schema validation: unexpected qualifier in EQD for CMAU4031438. Downstream event not created; timeline incomplete. | Enabled conflict resolution preferring max(eventTime); replayed from quarantine; validated against TOS/warehouse scans; added anomaly detection for >30m skews. | Enabled conflict resolution preferring max(eventTime); replayed from quarantine; validated against TOS/warehouse scans; added anomaly detection for >30m skews.
Container Report,"Reefer MSCU2809604 telemetry gap. Temperature feed offline briefly; backfill later within acceptable range. Yard block A1, handled by QC07. | Escalate to Container Product Team | Escalate to Container Product Team"
Vessel,"Schedule API intermittently returns 500 for MV AURORA BAY/25W; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at PSA Tanjong Pagar. All numeric identifiers are randomized placeholders; no credentials stored. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable."
Vessel,"EDIFACT COPRAR inconsistency for MV TITAN CREST/25W: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable."
EDI/API,ANSI X12 315 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. All numeric identifiers are randomized placeholders; no credentials stored. | Escalate to EDIAPI Product Team | Escalate to EDIAPI Product Team
EDI/API,"Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-A, while TOS computed local UTC+8. Container HLCU0786400 milestones appeared out-of-order on the portal; BAPLIE 'Gate Out' overshadowed later 'Loaded' event. Booking BK-WITJFK0R not impacted operationally but customer view inconsistent. Context tokens: XSIE, ETA. All numeric identifiers are randomized placeholders; no credentials stored. | Set precedence to TOS for equipment attributes; forced cache purge and re-index. Backfilled corrected attributes, then locked fields for 6h to prevent drift. Added rule to reject backdated EDI updates if newer move exists within 120 minutes. Communications used masked ticket references where applicable. | Set precedence to TOS for equipment attributes; forced cache purge and re-index. Backfilled corrected attributes, then locked fields for 6h to prevent drift. Added rule to reject backdated EDI updates if newer move exists within 120 minutes. Communications used masked ticket references where applicable."
EDI/API,"Translator rejected ANSI X12 301: missing BGM count alignment (UNH/UNT mismatch). Partner Partner-B interchange quarantined; downstream milestone not created. All numeric identifiers are randomized placeholders; no credentials stored. | Added de-duplication keyed by (controlNumber, docType, equipmentId, eventType); instated rule to discard stale duplicates; replayed healthy messages. Communications used masked ticket references where applicable. | Added de-duplication keyed by (controlNumber, docType, equipmentId, eventType); instated rule to discard stale duplicates; replayed healthy messages. Communications used masked ticket references where applicable."
Container Booking,"Discrepancy between customer portal and TOS for container EITU2370884 on voyage VA61. Portal shows 'Loaded @ BP05' while TOS indicates 'In Yard - Block F6'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-O6QJIUJV and seal S7543-N9E included (randomized placeholders). Yard crane YC26 handled the last move at PSA Tanjong Pagar. | Ran cross-system compare and forced cache invalidation. Re-ordered events by eventTime; replayed 'Yard Move Completed'. Corrected size/type to manifest truth and locked the attribute for 6 hours. Published reconciliation summary with sanitized diffs. | Ran cross-system compare and forced cache invalidation. Re-ordered events by eventTime; replayed 'Yard Move Completed'. Corrected size/type to manifest truth and locked the attribute for 6 hours. Published reconciliation summary with sanitized diffs."
Container Booking,Mismatched shipment party codes for MSCU3796172. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Tuas Port; booking BK-KMKZEBBK. | Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference. | Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.
EDI/API,Rate limiter throttled legitimate traffic after load surge. Hot keys on '/webhooks/delivery/5WLC7R' created cache stampede; error budget burned for the window. All numeric identifiers are randomized placeholders; no credentials stored. | Introduced per-partner rate shaping; added idempotency keys for webhook retries; validated TLS and cipher compatibility; published sanitized RCA. Communications used masked ticket references where applicable. | Introduced per-partner rate shaping; added idempotency keys for webhook retries; validated TLS and cipher compatibility; published sanitized RCA. Communications used masked ticket references where applicable.
Vessel,"Schedule API intermittently returns 502 for MV PACIFIC GLORY/88D; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at PSA Keppel. All numeric identifiers are randomized placeholders; no credentials stored. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable."
Container Report,"Translator rejected ANSI X12 315 for EITU7519610: segment count mismatch, sequence skipped 018→019→021. Missing public milestone though warehouse shows correct move. | Translator rejected ANSI X12 315 for EITU7519610: segment count mismatch, sequence skipped 018→019→021. Missing public milestone though warehouse shows correct move.': Enabled conflict resolution preferring max(eventTime); replayed from quarantine; validated against TOS/warehouse scans; added anomaly detection for >30m skews. | Translator rejected ANSI X12 315 for EITU7519610: segment count mismatch, sequence skipped 018→019→021. Missing public milestone though warehouse shows correct move.': Enabled conflict resolution preferring max(eventTime); replayed from quarantine; validated against TOS/warehouse scans; added anomaly detection for >30m skews."
EDI/API,"Field mapping mismatch across systems for container MSCU3650836. Partner Partner-E posted ANSI X12 214 with size/type as 22G1, but our master lists 45R1. Public API reflected partner payload, breaking yard slotting at PSA Keppel. Booking BK-09NW7ZKI shows reefer flag OFF while TOS maintains ON. Audit indicates stale backfill job re-applied older attributes. All numeric identifiers are randomized placeholders; no credentials stored. | Patched mapper to respect NAD roles; added tests for role inversion; flushed CDN. Sent sanitized incident summary to stakeholders; identifiers masked. Communications used masked ticket references where applicable. | Patched mapper to respect NAD roles; added tests for role inversion; flushed CDN. Sent sanitized incident summary to stakeholders; identifiers masked. Communications used masked ticket references where applicable."
Container Report,Auth token rejection for CMAU4032690 on '/auth/token'. Node clock skew surfacing as intermittent 401/403; partial data for ~18 minutes prior to mitigation. | Rolled back gateway buffering; enabled keep-alive upstream. Raised SLI alerts for error-rate/latency with auto-page. Coordinated cipher suite update with partner. | Rolled back gateway buffering; enabled keep-alive upstream. Raised SLI alerts for error-rate/latency with auto-page. Coordinated cipher suite update with partner.
Vessel,"ETA/ETB mismatch for MV SEA HORIZON (IMO 1508048, CS-WIWON) on voyage 88D. Berth plan shows ETB at TU11 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Tanjong Pagar reflects older figures. Pilotage request pending; quay Q4 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable."
IMPORT/EXPORT,Kindly check if any action needed on our end as the GDV No. is not in the shipping records. MPA have provided the information. | Please advise to check the call history | Please advise to check the call history
Container Booking,Weight and size attributes for EITU7696082 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1—slot planning at PSA Pasir Panjang misallocated. Voyage ZX77; last known location Block E5. Suspect duplicate CODECO from yesterday caused field overwrite. | Ran cross-system compare and forced cache invalidation. Re-ordered events by eventTime; replayed 'Yard Move Completed'. Corrected size/type to manifest truth and locked the attribute for 6 hours. Published reconciliation summary with sanitized diffs. | Ran cross-system compare and forced cache invalidation. Re-ordered events by eventTime; replayed 'Yard Move Completed'. Corrected size/type to manifest truth and locked the attribute for 6 hours. Published reconciliation summary with sanitized diffs.
Vessel,"HI Team, Similar with previous case: CS0053439-INC0159773/L where we have duplicate system Vessel Name. Please assist to change system Vessel Name for new ADRIAN MAERSK with callsign OZUU2 to be ADRIAN MSK i/o ADRIAN MS to avoid same name with callsign 5LLT3 as showing error on below screenshot while creating new Vessel Advice. | SQLB patch and Please ask user to retry | SQLB patch and Please ask user to retry"
EDI/API,"ANSI X12 214 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: EVENT, JSON. All numeric identifiers are randomized placeholders; no credentials stored. | Implemented pre-ingest normalizer for qualifiers; updated partner IG notes; enabled anomaly detection for repeated segment errors exceeds threshold. Communications used masked ticket references where applicable. | Implemented pre-ingest normalizer for qualifiers; updated partner IG notes; enabled anomaly detection for repeated segment errors exceeds threshold. Communications used masked ticket references where applicable."
Vessel,"ANSI X12 301 inconsistency for MV CORAL WAVE/7A: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable."
Container Report,403 responses and timeouts on '/events/subscribe' when querying EMCU9156403. slowest 5% of requests latency > 10s; retries exhausted—gaps visible in customer timeline. Coincides with partner load test near PSA Pasir Panjang. | Rolled back gateway buffering; enabled keep-alive upstream. Raised SLI alerts for error-rate/latency with auto-page. Coordinated cipher suite update with partner. | Rolled back gateway buffering; enabled keep-alive upstream. Raised SLI alerts for error-rate/latency with auto-page. Coordinated cipher suite update with partner.
EDI/API,"Field mapping mismatch across systems for container CMAU2120099. Partner Partner-D posted ANSI X12 214 with size/type as 22G1, but our master lists 45R1. Public API reflected partner payload, breaking yard slotting at PSA Pasir Panjang. Booking BK-A5282K0D shows reefer flag OFF while TOS maintains ON. Audit indicates stale backfill job re-applied older attributes. All numeric identifiers are randomized placeholders; no credentials stored. | Escalate to EDIAPI Product Team | Escalate to EDIAPI Product Team"
Vessel,"ETA/ETB mismatch for MV OCEAN DAWN (IMO 6245376, CS-00HKW) on voyage 88D. Berth plan shows ETB at BP07 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Pasir Panjang reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable."
Vessel,"The system failed to account for the updated vessel ETA and berth window, resulting in scheduling delays. | A system fix was applied to correct the data processing error. Additionally, the scheduling system was updated to ensure real-time synchronization of ETA and berth allocation for future incidents. | A system fix was applied to correct the data processing error. Additionally, the scheduling system was updated to ensure real-time synchronization of ETA and berth allocation for future incidents."
EDI/API,"Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-E, while TOS computed local UTC+8. Container HLCU5900651 milestones appeared out-of-order on the portal; EDIFACT COARRI 'Gate Out' overshadowed later 'Loaded' event. Booking BK-RVMN8CL3 not impacted operationally but customer view inconsistent. All numeric identifiers are randomized placeholders; no credentials stored. | Patched mapper to respect NAD roles; added tests for role inversion; flushed CDN. Sent sanitized incident summary to stakeholders; identifiers masked. Communications used masked ticket references where applicable. | Patched mapper to respect NAD roles; added tests for role inversion; flushed CDN. Sent sanitized incident summary to stakeholders; identifiers masked. Communications used masked ticket references where applicable."
Vessel,"ETA/ETB mismatch for MV EASTERN STAR (IMO 9840167, CS-Z78JG) on voyage 002E. Berth plan shows ETB at BP03 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Pasir Panjang Terminal 2 reflects older figures. Pilotage request pending; quay Q1 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable."
Vessel,"ETA/ETB mismatch for MV CORAL WAVE (IMO 5900812, CS-0SH8L) on voyage 001W. Berth plan shows ETB at BP05 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Keppel reflects older figures. Pilotage request pending; quay Q1 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable."
Container Booking,Weight and size attributes for EITU4591145 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1—slot planning at Tuas Port misallocated. Voyage PL08; last known location Block H1. Suspect duplicate CODECO from yesterday caused field overwrite. | Weight and size attributes for EITU4591145 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1 slot planning at Tuas Port misallocated. Voyage PL08; last known location Block H1. Suspect duplicate CODECO from yesterday caused field overwrite.': Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference. | Weight and size attributes for EITU4591145 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1 slot planning at Tuas Port misallocated. Voyage PL08; last known location Block H1. Suspect duplicate CODECO from yesterday caused field overwrite.': Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.
Vessel,Schedule API intermittently returns 502 for MV TITAN CREST/211S; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at PSA Tanjong Pagar. All numeric identifiers are randomized placeholders; no credentials stored. | Escalate to Vessel Product Team | Escalate to Vessel Product Team
Vessel,"Schedule API intermittently returns 401 for MV SUNRISE REEF/211S; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Tuas Port. All numeric identifiers are randomized placeholders; no credentials stored. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable."
EDI/API,"BAPLIE duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: CS0050536, IMPE. All numeric identifiers are randomized placeholders; no credentials stored. | Implemented pre-ingest normalizer for qualifiers; updated partner IG notes; enabled anomaly detection for repeated segment errors exceeds threshold. Communications used masked ticket references where applicable. | Implemented pre-ingest normalizer for qualifiers; updated partner IG notes; enabled anomaly detection for repeated segment errors exceeds threshold. Communications used masked ticket references where applicable."
Container Report,Auth token rejection for HLCU2090028 on '/containers/IRE8QJ/events'. Node clock skew surfacing as intermittent 401/403; partial data for ~18 minutes prior to mitigation. | Introduced token-leeway (+60s); purged problematic cache entries; rebuilt hot keys. Shaped traffic during partner tests and published sanitized RCA. | Introduced token-leeway (+60s); purged problematic cache entries; rebuilt hot keys. Shaped traffic during partner tests and published sanitized RCA.
EDI/API,Translator rejected EDIFACT CODECO: missing UNT count alignment (UNH/UNT mismatch). Partner Partner-A interchange quarantined; downstream milestone not created. All numeric identifiers are randomized placeholders; no credentials stored. | Implemented pre-ingest normalizer for qualifiers; updated partner IG notes; enabled anomaly detection for repeated segment errors exceeds threshold. Communications used masked ticket references where applicable. | Implemented pre-ingest normalizer for qualifiers; updated partner IG notes; enabled anomaly detection for repeated segment errors exceeds threshold. Communications used masked ticket references where applicable.
EDI/API,Intermittent 503 on '/auth/token' during webhook deliveries to Partner-D. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Tuas Port ops unaffected but visibility degraded. Context tokens: CS0052346-INC0157280/L. All numeric identifiers are randomized placeholders; no credentials stored. | Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable. | Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable.
Container Booking,"Customs flag toggled incorrectly for MSCU6635897, causing manual hold. Downstream feeds showed 'Hold' while TOS remained 'Available' at PSA Tanjong Pagar. | Customs flag toggled incorrectly for MSCU6635897, causing manual hold. Downstream feeds showed 'Hold' while TOS remained 'Available' at PSA Tanjong Pagar.': Reconciled customs flag; locked status to TOS for 4h; added dual-confirmation safeguard; published sanitized | Customs flag toggled incorrectly for MSCU6635897, causing manual hold. Downstream feeds showed 'Hold' while TOS remained 'Available' at PSA Tanjong Pagar.': Reconciled customs flag; locked status to TOS for 4h; added dual-confirmation safeguard; published sanitized"
Vessel,"ETA/ETB mismatch for MV BLUE ORBIT (IMO 8049503, CS-8E8HM) on voyage 12B. Berth plan shows ETB at BP02 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Pasir Panjang reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored. | Escalate to Vessel Product Team | Escalate to Vessel Product Team"
EDI/API,Translator rejected ANSI X12 315: missing RFF count alignment (UNH/UNT mismatch). Partner Partner-E interchange quarantined; downstream milestone not created. All numeric identifiers are randomized placeholders; no credentials stored. | Escalate to EDIAPI Product Team | Escalate to EDIAPI Product Team
Container Booking,"Discrepancy between customer portal and TOS for container OOLU7285582 on voyage V001. Portal shows 'Loaded @ BP03' while TOS indicates 'In Yard - Block E5'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-T2D5EM2V and seal S1258-GB0 included (randomized placeholders). Yard crane QC13 handled the last move at Tuas Port. | Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage V001); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders. | Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage V001); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders."
EDI/API,Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic. Partner Partner-D reported delayed acknowledgements; PSA Pasir Panjang ops not impacted. All numeric identifiers are randomized placeholders; no credentials stored. | Tightened alert thresholds with burn-rate alerts; added synthetic probes; ran retro review and updated runbooks. Communications used masked ticket references where applicable. | Tightened alert thresholds with burn-rate alerts; added synthetic probes; ran retro review and updated runbooks. Communications used masked ticket references where applicable.
Container Booking,Weight and size attributes for ONEU7811511 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1—slot planning at PSA Tanjong Pagar misallocated. Voyage AF12; last known location Block H1. Suspect duplicate CODECO from yesterday caused field overwrite. | Escalate to Container Product Team | Escalate to Container Product Team
Vessel,"ANSI X12 315 inconsistency for MV PACIFIC GLORY/002E: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable."
EDI/API,"ANSI X12 301 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: EDIFACT, CMA. All numeric identifiers are randomized placeholders; no credentials stored. | Added de-duplication keyed by (controlNumber, docType, equipmentId, eventType); instated rule to discard stale duplicates; replayed healthy messages. Communications used masked ticket references where applicable. | Added de-duplication keyed by (controlNumber, docType, equipmentId, eventType); instated rule to discard stale duplicates; replayed healthy messages. Communications used masked ticket references where applicable."
Container Report,502 responses and timeouts on '/bookings/search' when querying ONEU8727065. slowest 5% of requests latency > 10s; retries exhausted—gaps visible in customer timeline. Coincides with partner load test near PSA Tanjong Pagar. | Introduced token-leeway (+60s); purged problematic cache entries; rebuilt hot keys. Shaped traffic during partner tests and published sanitized RCA. | Introduced token-leeway (+60s); purged problematic cache entries; rebuilt hot keys. Shaped traffic during partner tests and published sanitized RCA.
Container Report,"We are trying to create Container Range From BSIU 323008 to BSIU 323099, but we are hit with error “Overlapping Container Range(s) found. However, this range could not be found. When queried for container range from BSIU BSIU 323008 to BSIU 323099, the result shows only range BSIU 343001 to BSIU 3492301. However, their concern is that upon searching for the range in NGPN Cont Parameter, the result is not shown below that it’s being created by STS. We also did a search at our end and we also get a different range for STS. How come, they can’t see at their end? | How to check container parameter range and whether it overlap? System check the serial number range excluding Check Digit For this case, the serial number overlap. BSIU 3430001 | How to check container parameter range and whether it overlap? System check the serial number range excluding Check Digit For this case, the serial number overlap. BSIU 3430001"
